id_cita;id_medico;nombre_paciente;nombre_propietario;tipo_animal;raza;fecha;hora;tipo_servicio;motivo;estado
C001;1474159998;Luna;Andrés Mendoza;Gato;;2026-04-01;08:30;Consulta;Control de peso;Completada
C002;1013258774;Toby;Camila Gómez;Perro;;2026-04-01;09:15;Consulta;Chequeo general;Completada
C003;1047789998;Mia;Juan Pablo Silva;Gato;;2026-04-02;10:00;Urgencia;Alergia en la piel;Cancelada
C004;1547789558;Max;Sofía Restrepo;Perro;;2026-04-02;11:30;Consulta;Arritmia leve;Completada
C005;1019874114;Bella;Diana Marcela;Perro;;2026-04-03;09:00;Consulta;Revisión general;Pendiente
C006;1474159998;Simba;Valentina Ospina;Gato;;2026-04-04;07:00;Consulta;Vacunación;Completada
C007;1013258774;Bruno;Diego Patiño;Perro;;2026-04-05;08:00;Cirugía;Esterilización;Completada
C008;1047789998;Milo;Laura Bermúdez;Perro;;2026-04-05;09:45;Consulta;Otitis externa;Cancelada
C009;1547789558;Coco;Carlos Ardila;Perro;;2026-04-07;11:00;Consulta;Soplos cardíacos;En curso
C010;1019874114;Tom;Felipe Ángel;Gato;;2026-04-07;10:45;Consulta;Falta de apetito;Pendiente
C011;1474159998;Nala;Mariana Rojas;Gato;;2026-04-08;14:00;Consulta;Desparasitación;Completada
C012;1013258774;Lucas;Santiago Cruz;Perro;;2026-04-09;15:30;Consulta;Problema digestivo;Completada
C013;1047789998;Félix;Paula Henao;Gato;;2026-04-10;16:15;Consulta;Pérdida de pelo;Completada
C014;1547789558;Zeus;Mateo Morales;Perro;;2026-04-10;08:00;Consulta;Cansancio excesivo;Cancelada
C015;1019874114;Kira;Natalia Torres;Perro;;2026-04-11;14:15;Consulta;Erupción cutánea;Pendiente
C016;1474159998;Oreo;Juliana Pérez;Gato;;2026-04-12;08:00;Consulta;Pérdida de peso;Completada
C017;1013258774;Rocky;Andrés Felipe;Perro;;2026-04-13;09:00;Consulta;Chequeo anual;Completada
C018;1047789998;Cleo;Manuela Díaz;Gato;;2026-04-14;10:30;Urgencia;Infección ocular;Cancelada
C019;1547789558;Duke;Ricardo Salazar;Perro;;2026-04-14;11:00;Consulta;Arritmia;Completada
C020;1019874114;Sasha;Camila Varón;Perro;;2026-04-15;09:30;Consulta;Revisión post-op;En curso
C021;1474159998;Mochi;Luisa Fernanda;Gato;;2026-04-16;07:30;Consulta;Vacunación;Completada
C022;1013258774;Thor;David Ospina;Perro;;2026-04-17;08:45;Cirugía;Hernia umbilical;Completada
C023;1047789998;Misu;Ana Lucía;Gato;;2026-04-18;10:00;Consulta;Dermatitis;En curso
C024;1547789558;Benny;Sebastián Cano;Perro;;2026-04-19;11:30;Consulta;Soplo cardíaco;Completada
C025;1019874114;Koda;Isabela Ríos;Perro;;2026-04-19;13:00;Consulta;Luxación;Pendiente
C026;1474159998;Lola;Marcela Gutiérrez;Gato;;2026-04-21;08:00;Consulta;Control mensual;Completada
C027;1013258774;Buddy;Jorge Montes;Perro;;2026-04-22;09:15;Consulta;Problema gástrico;Cancelada
C028;1047789998;Nemo;Daniela Arango;Gato;;2026-04-23;10:45;Consulta;Alergia alimentaria;Completada
C029;1547789558;Dante;Alejandra Muñoz;Perro;;2026-04-24;11:00;Consulta;Fatiga cardíaca;Completada
C030;1019874114;Leia;Camilo Herrera;Perro;;2026-04-24;14:00;Cirugía;Fractura tibia;En curso
C031;1474159998;Mimi;Valentina Cruz;Gato;;2026-04-25;08:30;Consulta;Desparasitación;Completada
C032;1013258774;Jack;Nicolás Mejía;Perro;;2026-04-26;09:00;Consulta;Chequeo general;Completada
C033;1047789998;Luna;Sara Londoño;Gato;;2026-04-27;10:15;Urgencia;Quemadura leve;Cancelada
C034;1547789558;Kira;Felipe Reyes;Perro;;2026-04-28;11:30;Consulta;Arritmia severa;Pendiente
C035;1019874114;Ares;Paula Jiménez;Perro;;2026-04-28;13:30;Consulta;Revisión puntos;Completada
C036;1474159998;Caramel;Sofía Montoya;Gato;;2026-04-29;08:00;Consulta;Control peso;Completada
C037;1013258774;Max;Diego Ramírez;Perro;;2026-04-30;09:30;Consulta;Vómito frecuente;Completada
C038;1047789998;Suki;Mariana Castillo;Gato;;2026-04-30;10:00;Consulta;Caída de pelo;En curso
C039;1547789558;Rex;Andrés Bermúdez;Perro;;2026-05-02;11:00;Consulta;Soplos;Completada
C040;1019874114;Penny;Laura Ángel;Perro;;2026-05-02;14:30;Consulta;Revisión;Pendiente
C041;1474159998;Tigre;Carlos Suárez;Gato;;2026-05-05;08:00;Consulta;Fiebre;Completada
